FISCAL YEAR,AGENCY,CLASSIFICATION,SALARY (ANNUAL) ,FULL/PART TIME,SERVICE TYPE,AGENCY #
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,JOB SHARE,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,168815,JOB SHARE,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,PART TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,JOB SHARE,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",DENTIST,176352,PART TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",WELDER 2,70494,FULL TIME,REPRESENTED,29100
2015,"CORRECTIONS, DEPT OF",WELDER 2,70806,FULL TIME,REPRESENTED,29100
2015,"EDUCATION, DEPT OF",CUSTODIAN,31632,PART TIME,REPRESENTED,58100
2015,"EDUCATION, DEPT OF",CUSTODIAN,31632,PART TIME,REPRESENTED,58100
2015,"EDUCATION, DEPT OF",CUSTODIAN,31632,PART TIME,REPRESENTED,58100
2015,"YOUTH AUTHORITY, OREGON",FISCAL ANALYST 2,69624,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",FISCAL ANALYST 3,62772,FULL TIME,EXECUTIVE SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",FISCAL ANALYST 3,76212,FULL TIME,EXECUTIVE SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",FOOD SERVICE MANAGER 1,40668,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",FOOD SERVICE MANAGER 1,51660,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",FOOD SERVICE MANAGER 1,51799,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PSYCHIATRIC SOCIAL WORKER,76608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",PUBLIC AFFAIRS SPECIALIST 3,88116,PART TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",PUBLIC AFFAIRS SPECIALIST 3,88116,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",PUBLIC AFFAIRS SPECIALIST 3,92522,PART TIME,MANAGEMENT SERVICE,41500
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,63324,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,63324,FULL TIME,REPRESENTED,47100
2015,"YOUTH AUTHORITY, OREGON",PRINCIPAL EXECUTIVE/MANAGER A,62772,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",PRINCIPAL EXECUTIVE/MANAGER A,65911,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,63324,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,66490,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,66490,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,66490,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,INVESTIGATOR 3,66490,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,30456,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,31632,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,31632,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,33214,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,36012,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,36012,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,37668,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,43284,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,43284,FULL TIME,REPRESENTED,47100
2015,EMPLOYMENT DEPT,LEGAL SECRETARY,43284,FULL TIME,REPRESENTED,47100
2015,"POLICE, OREGON STATE",SERGEANT,96096,FULL TIME,REPRESENTED,25700
2015,"POLICE, OREGON STATE",SERGEANT,96096,FULL TIME,REPRESENTED,25700
2015,"POLICE, OREGON STATE",SERGEANT,96096,FULL TIME,REPRESENTED,25700
2015,"POLICE, OREGON STATE",SERGEANT,97044,FULL TIME,REPRESENTED,25700
2015,"POLICE, OREGON STATE",SERGEANT,105308,FULL TIME,REPRESENTED,25700
2015,"POLICE, OREGON STATE",SERGEANT,105706,FULL TIME,REPRESENTED,25700
2015,SECRETARY OF STATE,STATE AUDITOR 2,55236,FULL TIME,NON ORS,16500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,35928,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",GROUP LIFE COORDINATOR 2,37608,PART TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",RESEARCH ANALYST 3,60336,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",RESEARCH ANALYST 4,63324,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",RESEARCH ANALYST 4,72960,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",RESEARCH ANALYST 4,80292,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",RESEARCH ANALYST 4,80292,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",SOCIAL SERVICE SPECIALIST 1,47688,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",SOCIAL SERVICE SPECIALIST 1,52429,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",SOCIAL SERVICE SPECIALIST 1,57492,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",SOCIAL SERVICE SPECIALIST 1,60336,FULL TIME,REPRESENTED,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING COOK,44604,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING COOK,46980,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING COOK,46980,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING COOK,46980,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING COOK,49329,FULL TIME,MANAGEMENT SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING PHYSICIAN,191676,FULL TIME,EXECUTIVE SERVICE,41500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING RN,76212,FULL TIME,MANAGEMENT SERVICE,41500
2015,SECRETARY OF STATE,STATE AUDITOR 2,55276,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,55276,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,57998,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,57998,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,58008,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,60908,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,63995,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,63995,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,63995,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,70497,PART TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,70497,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 2,77603,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,65904,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,69168,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,69199,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,69199,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,72552,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,72626,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,76180,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,76180,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,76180,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,76180,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 3,76212,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,83954,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,83954,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,83954,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,88175,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,88175,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,92412,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,92412,PART TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,92522,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,97033,FULL TIME,NON ORS,16500
